Waltheria,45.03
Pale Cologania,36.31
Redbox,32.14
Arthothelium Lichen,31.11
Fumitory,24.38
Savicz's Snow Lichen,48.08
Monstera,38.43
Hispid False Mallow,13.41
Purple Beautyberry,15.11
Apple Blossom,10.63
False Dogfennel,10.92
Star Reindeer Lichen,1.76
Kellogg's Hawthorn,49.74
White Stopper,30.66
Narrowleaf Queen Poppy,31.36
Mt. Tedoc Linanthus,42.59
False Lily Of The Valley,14.29
Corcho Prieto,43.30
Cockleshell Lichen,1.88
Creepingfern,29.41
Thompson's Buckwheat,14.59
Atwood's Phacelia,1.52
Longleaf Groundcherry,28.68
Prostrate Buckwheat,30.89
Western Catchfly,12.24
Everglades Palm,24.50
Browse Milkvetch,16.07
Threadleaf Evening Primrose,44.60
Roughfruit Fairybells,9.12
Scribble Lichen,7.32
Wonderberry,16.35
Bukhara Fleeceflower,30.93
Spike Fescue,24.15
Pterigynandrum Moss,29.18
Trampweed,21.52
Bright Green Spikerush,40.10
Tolmie's Goldenrod,5.64
Crabseye Lichen,42.88
Pleatleaf,25.49
Thelidium Lichen,35.04
Zion Indian Paintbrush,4.74
Kwini,48.63
Wild Job's Tears,2.67
Hymenostylium Moss,16.34
Sunset Lupine,48.08
Blackjack Oak,26.10
Longhorn Plectritis,26.44
Matgrass,32.42
Foothill Larkspur,4.25
